Date,EUR to USD Rate,TUR to USD Rate
5/5/2014,1.387598,0.475037
6/5/2014,1.387861,0.47619
7/5/2014,1.39316,0.47848
8/5/2014,1.391304,0.480106
9/5/2014,1.385485,0.482197
10/5/2014,1.375644,0.481472
11/5/2014,1.375998,0.481371
12/5/2014,1.375998,0.481371
13/05/2014,1.375805,0.481158
14/05/2014,1.369816,0.483722
15/05/2014,1.370615,0.483053
16/05/2014,1.37186,0.476447
17/05/2014,1.36955,0.476713
18/05/2014,1.369357,0.476644
19/05/2014,1.369497,0.476485
20/05/2014,1.371347,0.477423
21/05/2014,1.36925,0.472947
22/05/2014,1.36627,0.476045
23/05/2014,1.364855,0.480435
24/05/2014,1.3634,0.480478
25/05/2014,1.363001,0.480409
26/05/2014,1.363401,0.480215
27/05/2014,1.364555,0.479788
28/05/2014,1.36184,0.47516
29/05/2014,1.35937,0.476085
30/05/2014,1.360202,0.47962
31/05/2014,1.364015,0.477078
1/6/2014,1.363187,0.47685
2/6/2014,1.363187,0.47685
3/6/2014,1.35994,0.47486
4/6/2014,1.362834,0.471477
5/6/2014,1.36035,0.472457
6/6/2014,1.366326,0.476881
7/6/2014,1.36382,0.480995
8/6/2014,1.364201,0.480954
9/6/2014,1.364201,0.480954
10/6/2014,1.358668,0.47932
11/6/2014,1.35383,0.480504
12/6/2014,1.353415,0.47426
13/06/2014,1.35619,0.472534
14/06/2014,1.353505,0.471685
15/06/2014,1.353995,0.470921
16/06/2014,1.353995,0.470921
17/06/2014,1.356824,0.466957
18/06/2014,1.354,0.465051
19/06/2014,1.357489,0.466853
20/06/2014,1.36061,0.466496
21/06/2014,1.35901,0.467307
22/06/2014,1.3601,0.467377
23/06/2014,1.3601,0.467377
24/06/2014,1.360109,0.46789
25/06/2014,1.359508,0.46684
26/06/2014,1.36354,0.468653
27/06/2014,1.361239,0.470168
28/06/2014,1.364195,0.470513
29/06/2014,1.364871,0.471232
30/06/2014,1.364871,0.471232
1/7/2014,1.369403,0.472174
2/7/2014,1.368691,0.469889
3/7/2014,1.365383,0.469109
4/7/2014,1.360905,0.469924
5/7/2014,1.359398,0.468709
6/7/2014,1.359702,0.468779
7/7/2014,1.359702,0.468779
8/7/2014,1.3605,0.469772
9/7/2014,1.36121,0.470809
10/7/2014,1.3626,0.47221
11/7/2014,1.3602,0.471169
12/7/2014,1.36061,0.47197
13/07/2014,1.360905,0.472255
14/07/2014,1.360905,0.472255
15/07/2014,1.361025,0.472456
16/07/2014,1.356905,0.470877
17/07/2014,1.352235,0.472173
18/07/2014,1.352355,0.469718
19/07/2014,1.353021,0.470856
20/07/2014,1.352402,0.47081
21/07/2014,1.352402,0.47081
22/07/2014,1.351982,0.47196
23/07/2014,1.346805,0.474854
24/07/2014,1.3463,0.478149
25/07/2014,1.346755,0.478097
26/07/2014,1.343192,0.477826
27/07/2014,1.343102,0.477601
28/07/2014,1.343102,0.477601
29/07/2014,1.344005,0.476223
30/07/2014,1.341134,0.47343
31/07/2014,1.337998,0.467896
1/8/2014,1.339109,0.467206
2/8/2014,1.342723,0.468757
3/8/2014,1.343102,0.468933
4/8/2014,1.343102,0.468933
5/8/2014,1.342004,0.469138
6/8/2014,1.33645,0.464883
7/8/2014,1.338106,0.463188
8/8/2014,1.335604,0.462169
9/8/2014,1.341085,0.465744
10/8/2014,1.341175,0.466139
11/8/2014,1.341103,0.4662
12/8/2014,1.33865,0.464902
13/08/2014,1.336529,0.461489
14/08/2014,1.336791,0.464436
15/08/2014,1.336621,0.46484
16/08/2014,1.339351,0.461124
17/08/2014,1.3398,0.461467
18/08/2014,1.339899,0.461404
19/08/2014,1.336375,0.462256
20/08/2014,1.331705,0.462054
21/08/2014,1.32893,0.459506
22/08/2014,1.32812,0.460697
23/08/2014,1.32385,0.459875
25/08/2014,1.3246,0.459749
26/08/2014,1.31955,0.459186
27/08/2014,1.31696,0.461248
28/08/2014,1.319985,0.464013
29/08/2014,1.318065,0.462596
30/08/2014,1.3144,0.463056
31/08/2014,1.313379,0.462139
1/9/2014,1.313301,0.462129
2/9/2014,1.312905,0.463122
3/9/2014,1.313155,0.460426
4/9/2014,1.314026,0.463599
5/9/2014,1.29538,0.462289
6/9/2014,1.295505,0.46345
8/9/2014,1.295135,0.463298
9/9/2014,1.290826,0.460553
10/9/2014,1.291489,0.454844
11/9/2014,1.290606,0.455685
12/9/2014,1.2924,0.454879
13/09/2014,1.2955,0.451967
14/09/2014,1.2955,0.451967
15/09/2014,1.295052,0.451162
16/09/2014,1.29713,0.45405
17/09/2014,1.29713,0.45405
18/09/2014,1.2959,0.452612
19/09/2014,1.291072,0.448989
20/09/2014,1.283995,0.44761
21/09/2014,1.283005,0.447527
22/09/2014,1.283005,0.447527
23/09/2014,1.283145,0.445548
24/09/2014,1.28521,0.446871
26/09/2014,1.274746,0.44241
27/09/2014,1.268754,0.441645
28/09/2014,1.26836,0.441501
29/09/2014,1.2684,0.441833
30/09/2014,1.268925,0.439115
1/10/2014,1.262523,0.438843
2/10/2014,1.26108,0.437927
3/10/2014,1.25163,0.435057
4/10/2014,1.25163,0.435057
5/10/2014,1.25163,0.435057
6/10/2014,1.25771,0.440141
7/10/2014,1.26275,0.441053
8/10/2014,1.26275,0.441053
9/10/2014,1.267724,0.437784
